,Year_2008,Year_2010,Year_2014,Year_2016,Year_2018,Trip_time
0,731.1543269,138.9174411,736.9488291,777.1214763,716.0519196,10:00am
1,0,0,256.7054119,118.2603848,280.7240177,10:00pm
2,228.2068164,295.8557583,476.7660913,811.6265134,592.5252593,10:30am
3,0,0,0,0,347.9659991,10:30pm
4,786.9704664,754.7558855,456.9709871,414.2659672,454.3309938,11:00am
5,96.9302128,0,556.3927939,275.6219406,200.0837223,11:00pm
6,298.0759845,678.5451449,136.9590416,82.89736595,231.1365561,11:30am
7,223.2265357,0,0,0,0,12:00am
8,322.1007411,589.3785692,266.8948418,127.925234,136.9081764,12:00pm
9,355.5613789,217.5672592,300.1702216,494.4785842,424.1942414,12:30pm
10,479.4986478,1223.335526,0,465.7167447,402.3471197,1:00pm
11,512.1320938,264.0038523,181.0209189,105.3069742,328.2920641,1:30pm
12,395.1967006,471.3733301,0,0,142.0591268,2:00pm
13,588.706395,174.5431515,879.0159322,585.9607572,501.9556647,2:30pm
14,1390.543025,1298.682729,1600.967911,1818.666503,1573.397273,3:00pm
15,3337.73016,3537.751098,2692.80484,5423.771501,5125.064923,3:30pm
16,1509.314492,2056.814523,2477.011487,1402.048938,2717.169528,4:00pm
17,907.269647,802.502916,1721.709535,1239.938246,1352.157189,4:30pm
18,0,0,0,76.0922821,58.53815288,5:00am
19,1285.139476,1349.248811,2147.391,1476.878343,1637.928921,5:00pm
20,853.4342104,1119.047394,2084.411922,1310.158338,1394.2722,5:30pm
21,254.7578583,324.6742449,442.0146781,584.2524131,433.9031051,6:00am
22,484.7090308,710.2308542,748.9996969,979.5034944,1061.904103,6:00pm
23,454.5231497,152.015104,827.2688437,838.094445,1108.214812,6:30am
24,516.6106216,516.5939699,932.9886758,632.8863622,1249.464481,6:30pm
25,1085.623804,1111.940334,1220.57438,1457.010901,1511.393527,7:00am
26,94.22039497,114.5745508,135.256106,81.46616632,61.82671958,7:00pm
27,1327.854746,2109.69035,2659.891919,2409.539435,3364.21124,7:30am
28,0,154.7410459,0,812.7650382,588.6959131,7:30pm
29,3636.041331,4196.92616,3009.019197,4030.685959,4464.003994,8:00am
30,0,335.3403851,588.8594854,321.664702,240.4127021,8:00pm
31,1859.362956,1511.131885,1979.324633,1836.859877,2731.265949,8:30am
32,132.7306232,319.6257948,0,0,60.87803921,8:30pm
33,475.0344922,876.4745956,421.246952,652.5690387,714.5496614,9:00am
34,57.41789508,0,0,0,0,9:00pm
35,510.2419376,628.2866134,879.3020702,420.3420478,309.9670507,9:30am
36,0,64.56324124,0,165.520831,124.4137304,9:30pm
