,WebID,Area,Total dwellings_2016,Total dwellings_2011,Total dwellings_2006,Total dwellings_2001,Train_2016,Train_2011,Train_2006,Train_2001,pop_2016,pop_2011,pop_2006,pop_2001
0,270,Leopold,5219,4075,3318,2839,107,75,80,66,12814,10117,8818,7654
1,330,North Geelong - Rippleside,1601,1326,1309,1279,114,80,48,45,3843,2893,3026,2955
2,130,Bell Post Hill,2171,2165,2116,2053,64,32,50,58,4914,5016,5135,5370
3,110,Barwon Heads - Connewarre - Breamlea,2558,2345,1827,1827,97,74,24,18,4554,4046,2873,2953
4,190,East Geelong,1832,1756,1780,1742,117,107,56,70,3865,3812,3843,3742
5,420,Whittington,1839,1778,1714,1680,35,24,13,22,3879,4068,4052,4239
6,370,Rural North,652,668,638,651,38,34,34,31,1734,1608,1769,1676
7,320,Norlane - North Shore,4342,3936,3922,4000,80,27,80,56,8669,8314,8229,8975
8,150,Clifton Springs,3412,3271,3039,2632,66,54,26,25,7521,7554,7206,6826
9,170,Curlewis,614,100,93,85,15,0,1,1,1557,222,210,242
10,430,Central Geelong,885,722,552,583,51,29,18,19,1464,1326,993,1056
11,250,Highton - Wandana Heights,8296,7504,6661,5726,394,306,203,143,20991,18625,16561,14335
12,10,City of Greater Geelong,106149,95747,87976,80957,3864,3316,2114,1978,233429,210874,197475,186889
13,120,Bell Park,2389,2232,2054,1821,77,58,58,54,5013,5226,4649,4207
14,100,Armstrong Creek - Mount Duneed,1973,180,421,170,116,0,0,4,5432,452,962,511
15,210,Geelong West - Manifold Heights,4660,4455,4357,4344,302,259,164,151,9617,9276,8861,8809
16,220,Grovedale,6026,5828,5232,4312,177,108,130,118,14311,14149,13178,11631
17,160,Corio,6200,6080,5916,5764,108,52,87,105,15292,15199,14944,15315
18,200,Geelong,3072,2747,2541,2515,184,138,113,74,5769,5309,4952,4940
19,280,Lovely Banks - Batesford - Moorabool,946,935,673,526,25,32,15,13,2638,2567,2080,1541
20,390,St Albans Park,2149,2049,1764,1368,47,21,18,24,4846,4953,4696,3777
21,290,Marshall - Charlemont,1008,733,566,481,37,33,6,2,2243,1769,1288,1167
22,260,Lara,5860,5041,4401,3852,540,482,289,313,16358,13914,12639,11087
23,380,South Geelong - Thomson - Breakwater,1912,1831,1792,1667,70,62,35,45,3619,3548,3497,3434
24,400,St Leonards - Indented Head,3533,3217,2866,2548,31,26,5,4,3615,3040,2634,2506
25,360,Rural Bellarine Peninsula,1367,1144,1153,1039,22,21,15,9,2806,2460,2507,2177
26,230,Hamlyn Heights,2842,2703,2590,2514,101,98,71,71,6292,6075,5839,5751
27,140,Belmont,6674,6599,6178,6192,231,209,160,143,14048,13649,13391,13779
28,410,Waurn Ponds - Ceres,1537,1302,971,476,75,27,38,12,5305,4102,3245,1600
29,310,Newtown,4540,4319,4158,4186,242,193,118,141,10148,9701,9581,9656
30,180,Drysdale - Bellarine,1935,1701,1295,993,44,15,14,12,4441,4075,3203,2665
31,350,Portarlington,2786,2614,2372,2154,28,9,9,13,3619,3309,3123,2991
32,300,Newcomb - Moolap,2922,2703,2649,2550,71,24,22,47,5874,5674,5766,5863
33,240,Herne Hill - Fyansford,1858,1776,1762,1728,57,70,35,50,3605,3520,3439,3530
34,340,Ocean Grove,7391,6591,5823,5240,167,86,86,66,14161,12594,11271,10448
