,date,cases
0,22 Aug,256
1,21 Aug,247
2,20 Aug,239
3,19 Aug,258
4,18 Aug,259
5,17 Aug,261
6,16 Aug,256
7,15 Aug,258
8,14 Aug,255
9,13 Aug,251
10,11 Aug,229
11,10 Aug,225
12,09 Aug,225
13,08 Aug,227
14,07 Aug,217
15,06 Aug,213
16,05 Aug,206
17,04 Aug,190
18,03 Aug,161
19,02 Aug,156
20,01 Aug,142
21,31 Jul,133
22,30 Jul,109
23,29 Jul,77
24,28 Jul,82
25,27 Jul,54
26,26 Jul,67
27,25 Jul,49
28,24 Jul,66
29,23 Jul,80
30,22 Jul,59
31,21 Jul,56
32,20 Jul,51
33,19 Jul,40
34,18 Jul,33
35,17 Jul,36
36,16 Jul,43
37,15 Jul,40
38,14 Jul,41
39,13 Jul,36
40,12 Jul,21
41,11 Jul,31
42,10 Jul,34
43,09 Jul,34
44,08 Jul,34
45,07 Jul,25
46,06 Jul,24
47,05 Jul,20
48,04 Jul,25
49,03 Jul,21
50,02 Jul,24
51,01 Jul,21
52,30 Jun,13
53,29 Jun,15
54,28 Jun,15
55,27 Jun,19
56,26 Jun,21
57,25 Jun,22
58,24 Jun,2
59,23 Jun,2
60,22 Jun,4
61,21 Jun,11
62,20 Jun,9
63,19 Jun,9
64,18 Jun,8
65,17 Jun,12
66,16 Jun,1
67,15 Jun,0
68,14 Jun,2
69,13 Jun,2
70,12 Jun,1
71,11 Jun,0
72,10 Jun,0
73,09 Jun,2
74,08 Jun,0
75,07 Jun,4
76,06 Jun,5
77,05 Jun,5
78,04 Jun,3
79,03 Jun,5
80,02 Jun,1
81,31 May,2
82,30 May,5
83,29 May,1
84,28 May,3
85,27 May,2
86,26 May,2
87,25 May,2
88,23 May,3
89,21 May,2
90,20 May,4
91,19 May,6
92,18 May,8
93,17 May,8
94,16 May,4
95,15 May,1
96,14 May,1
97,11 May,3
98,10 May,4
99,09 May,3
100,08 May,1
101,07 May,1
