,Suburb,Year,Population
0,Geelong West,2012,9499.0
1,Geelong West,2013,9554.0
2,Geelong West,2014,9640.0
3,Geelong West,2015,9707.0
4,Geelong West,2016,9884.0
5,Geelong West,2017,10014.0
6,Geelong West,2018,10158.0
7,Geelong West,2019,10329.0
8,West Geelong,2020,[[10390.75]]
9,West Geelong,2021,[[10511.33333333]]
10,West Geelong,2022,[[10631.91666667]]
11,West Geelong,2023,[[10752.5]]
12,West Geelong,2024,[[10873.08333333]]
13,West Geelong,2025,[[10993.66666667]]
14,West Geelong,2026,[[11114.25]]
15,West Geelong,2027,[[11234.83333333]]
16,West Geelong,2028,[[11355.41666667]]
17,West Geelong,2029,[[11476.]]
18,West Geelong,2030,[[11596.58333333]]
19,West Geelong,2031,[[11717.16666667]]
20,West Geelong,2032,[[11837.75]]
21,West Geelong,2033,[[11958.33333333]]
22,West Geelong,2034,[[12078.91666667]]
23,West Geelong,2035,[[12199.5]]
24,West Geelong,2036,[[12320.08333333]]
25,West Geelong,2037,[[12440.66666667]]
26,West Geelong,2038,[[12561.25]]
27,West Geelong,2039,[[12681.83333333]]
28,West Geelong,2040,[[12802.41666667]]
29,West Geelong,2041,[[12923.]]
30,West Geelong,2042,[[13043.58333333]]
31,West Geelong,2043,[[13164.16666667]]
32,West Geelong,2044,[[13284.75]]
33,West Geelong,2045,[[13405.33333333]]
34,West Geelong,2046,[[13525.91666667]]
35,West Geelong,2047,[[13646.5]]
36,West Geelong,2048,[[13767.08333333]]
37,West Geelong,2049,[[13887.66666667]]
