Suburb,Suburb_Code,Train Station,Bus Station,Hospitals,Schools,Restaurants,Shopping Center,Park,Sub_Lat,Sub_Long
Armstrong Creek,1,0,4,3,0,10,1,1,-38.236835,144.367373
Bell Park,2,0,5,2,2,4,1,1,-38.103136,144.337421
Bell Post Hill,3,0,5,2,3,6,1,1,-38.0994,144.327293
Belmont,4,0,8,6,7,20,2,2,-38.174078,144.339275
Break Water,5,0,3,0,0,5,1,1,-38.184203,144.376141
Corio,6,1,5,5,4,13,2,2,-38.075763,144.354037
Drumcondra,7,0,3,1,0,4,1,1,-38.131304,144.353619
East Geelong,8,0,5,8,1,15,1,1,-38.160274,144.378633
Freshwater Creek,9,0,4,0,2,12,1,1,-38.272006,144.252099
Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
Geelong West,11,0,7,2,1,5,3,1,-38.136277,144.346678
Grovedale,12,0,5,3,4,15,1,2,-38.200192,144.345164
Hamlyn Heights,13,0,4,2,2,14,2,1,-38.123452,144.322915
Herne Hill,14,0,6,1,3,5,2,2,-38.133118,144.327823
Highton,15,0,8,5,5,25,2,2,-38.177915,144.314356
Lara,16,1,6,6,3,15,2,3,-38.023116,144.394884
Manifold Heights,17,0,3,1,0,7,1,1,-38.136663,144.334594
Marshall,18,1,6,0,0,7,1,2,-38.198841,144.359814
Mount Duneed,19,0,2,0,1,5,1,1,-38.250843,144.303483
Newcomb,20,0,6,5,3,12,1,1,-38.1648,144.391255
Newtown,21,0,6,4,6,12,2,1,-38.148534,144.332388
Norlane,22,0,4,2,1,10,1,1,-38.090832,144.353389
North Geelong,23,1,5,1,1,15,3,2,-38.108008,144.351491
North Shore,24,1,5,1,1,12,1,1,-38.099849,144.373791
Ripple Side,25,0,4,1,0,6,1,2,-38.123069,144.356034
South Geelong,26,1,9,2,1,27,3,1,-38.160442,144.359298
St Albans Park,27,0,3,1,0,5,1,1,-38.190721,144.394283
Thomson,28,0,2,1,0,5,1,1,-38.170835,144.380301
Wandana Heights,29,0,7,1,0,10,1,1,-38.176755,144.302505
Waurn Ponds,30,1,10,5,1,5,2,2,-38.2121,144.304194
Whittington,31,0,2,1,1,8,1,1,-38.179956,144.393141
